,img,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,true_label
7,img_48931.jpg,0.249466940761,1.06731754523e-06,1.08081692282e-06,0.000206640375879,1.17671338258e-05,0.000152402636118,1.4218374601e-07,2.27199688574e-06,3.01394919522e-07,0.750157415867,0
97,img_79033.jpg,0.623289093375,0.0262934201164,0.000649518769933,0.00399915245362,0.00113723817049,0.0225050318986,8.4045865151e-05,0.000274724290648,0.00121383304213,0.320553913713,1
98,img_33965.jpg,0.484897006303,0.314325306099,0.000108694025585,0.00271557620727,0.000352360826582,0.00270412606187,2.59825410467e-05,0.000323964828567,0.000356737538823,0.194190315902,1
99,img_74582.jpg,0.522651210427,0.262643385882,0.000230703175475,0.00978457462043,0.00114344721806,0.00629733561072,5.91838961554e-05,0.00101359921609,0.00029773566348,0.195878807455,1
101,img_68509.jpg,0.669868439436,0.10318440877,0.000129639713123,0.0242858808488,0.00171335891355,0.00903982308228,4.71549501526e-05,0.000290606549243,0.000155277848535,0.191285466775,1
102,img_50839.jpg,0.510193856433,0.197645295048,2.77650151475e-05,0.00529664731584,0.000223392627959,0.0188796664588,1.59903154326e-05,0.000135899048928,5.33025358891e-05,0.26752814278,1
103,img_18674.jpg,0.475513128564,0.0439591492177,5.2532573136e-05,0.00202797871316,0.000446431399723,0.0243230182969,1.92157731362e-05,0.000126648510559,0.000185966513527,0.453345928341,1
104,img_98532.jpg,0.643694370985,0.0944663463306,6.05790719419e-05,0.0195301184431,0.000507082979311,0.0101119094761,2.93813372991e-05,0.000150348830175,0.000144923520565,0.231304967776,1
105,img_66790.jpg,0.80037561059,0.0236571278656,4.60354640381e-05,0.00583841581829,0.000776265413151,0.0155627256026,1.5112316305e-05,8.25628085295e-05,6.0116595705e-05,0.15358608216,1
215,img_48638.jpg,1.87205299618e-06,1.2836938339e-06,0.17252702266,3.18771590457e-07,3.28644432557e-06,1.55369296806e-06,0.827218830585,2.23408819693e-05,0.000193339281395,3.02182779706e-05,2
313,img_59937.jpg,0.01978977627,0.000771008213633,1.47612197452e-05,0.00532129954081,5.88481880186e-05,3.84060156193e-05,3.51301116552e-06,1.32982931973e-05,0.00387673381192,0.970112353563,3
346,img_73258.jpg,0.2323760094,0.00180029826151,0.00126538045879,0.00888724254037,0.0159043830354,0.000518627851761,0.000418628609623,0.00318897221587,0.576258301735,0.159382211044,4
347,img_50429.jpg,0.266427604889,0.00274744171838,0.00101110517426,0.00609614108544,0.0113229619747,0.000351665947846,0.000410107713833,0.00278521440487,0.59929793328,0.109549799003,4
348,img_51146.jpg,0.172112172899,0.000853190966154,0.00107648520861,0.00213898394759,0.0979232609607,0.000578624390641,0.000511281363288,0.00403704394193,0.638028040528,0.082740873564,4
349,img_24154.jpg,0.177221211547,0.00067392764322,0.000534169717866,0.000914140480745,0.0604641770478,0.000108018640276,0.000681056932081,0.00129632304015,0.637904495001,0.120202474296,4
350,img_31684.jpg,0.161112410482,0.000603224034421,0.00046817745897,0.000430937499914,0.202124701522,8.77206466612e-05,0.000644307845505,0.000954203540459,0.5289882496,0.10458612442,4
351,img_100778.jpg,0.302067900077,0.000761743227486,0.000552405515919,0.000559602762223,0.183143001515,0.000106074086943,0.000681831297697,0.000678780430462,0.408588796854,0.102859838866,4
352,img_2071.jpg,0.184064280242,0.000517461972777,0.000507766089868,0.00122095596453,0.2594288541,0.000336224678904,0.000506698255776,0.000749468839786,0.493381522596,0.059286782518,4
353,img_36357.jpg,0.421632787678,0.000146227015648,0.000237096901401,0.00562882905069,0.0560526170302,0.000430189809776,0.000218083423533,0.000938989134738,0.0657161353156,0.448999130167,4
354,img_12333.jpg,0.00971810339252,0.000155209282639,0.000357260403689,0.0112442152131,0.0393405661307,0.000637084684968,0.000383941660402,0.00536324529094,0.523385465145,0.409414842725,4
355,img_41379.jpg,0.0796235823072,0.000174298002094,0.000278763269307,0.00907007520436,0.058965251781,0.000182742562174,0.000481902010506,0.000832880017697,0.279091948643,0.57129855454,4
