img,x,y
img_2545.jpg,85.128130857,101.231044471
img_2545.jpg,121.05843692,49.9502309854
img_2545.jpg,109.52994423,169.527842128
img_2653.jpg,178.908567842,109.330264672
img_2653.jpg,68.346765152,51.2574688386
img_2653.jpg,71.5890531614,171.577917584
img_27453.jpg,122.94538598,53.2670363798
img_27453.jpg,104.050936298,167.743204971
img_27453.jpg,90.9530032672,106.98265896
img_4824.jpg,98.8136672326,167.294519902
img_4824.jpg,108.301066218,128.88201459
img_4824.jpg,124.858496612,51.6681926387
img_5237.jpg,124.343644362,171.03273906
img_5237.jpg,106.295295971,59.0497861805
img_5237.jpg,86.0937794533,92.582626453
img_5329.jpg,142.252863033,142.138799817
img_5329.jpg,115.570816492,55.4726758286
img_5329.jpg,104.281770094,168.233819292
img_5514.jpg,56.7219796215,131.816730349
img_5514.jpg,164.800625366,100.711823334
img_5514.jpg,50.3352512466,46.0502493287
img_5716.jpg,112.954056655,168.061634378
img_5716.jpg,122.059711286,49.9405699288
img_5716.jpg,58.8684476827,103.741550293
img_8128.jpg,105.873137993,168.157022426
img_8128.jpg,119.230642002,53.12609358
img_8128.jpg,96.9924050633,95.8289330922
img_8571.jpg,112.910759549,52.974434053
img_8571.jpg,112.151064508,166.341320469
img_8571.jpg,89.523960217,95.0678119349
img_93757.jpg,112.481715224,53.148007262
img_93757.jpg,111.206140351,166.507336523
img_93757.jpg,103.680937819,96.378185525
MASKimg_2545.jpg,179.719661035,111.438522624
MASKimg_2545.jpg,70.7980530636,171.607558694
MASKimg_2545.jpg,70.7066131498,51.3855122324
MASKimg_2653.jpg,179.611994258,112.369929289
MASKimg_2653.jpg,71.3499555894,51.1623524933
MASKimg_2653.jpg,69.9573213714,171.396155079
MASKimg_27453.jpg,110.324985378,43.387143085
MASKimg_27453.jpg,171.94639123,151.412964958
MASKimg_27453.jpg,51.7228637413,153.271362587
MASKimg_4824.jpg,153.162878304,171.126548334
MASKimg_4824.jpg,151.179623646,50.9190901603
MASKimg_4824.jpg,43.2288185361,112.68933853
MASKimg_5237.jpg,152.65420082,171.618340164
MASKimg_5237.jpg,152.343132254,51.3606045147
MASKimg_5237.jpg,43.5284987817,111.727672423
MASKimg_5329.jpg,171.340627791,152.859257369
MASKimg_5329.jpg,111.690185508,43.6212673749
MASKimg_5329.jpg,51.0712406136,152.323342533
MASKimg_5514.jpg,70.0924932976,51.6765607047
MASKimg_5514.jpg,179.398371404,111.205742386
MASKimg_5514.jpg,70.763751763,171.941018079
MASKimg_5716.jpg,70.1192831449,171.602325283
MASKimg_5716.jpg,179.322039265,111.849957779
MASKimg_5716.jpg,70.5755427842,51.3273307791
MASKimg_8128.jpg,43.4757781791,113.858759163
MASKimg_8128.jpg,154.317886754,170.631403046
MASKimg_8128.jpg,150.409537078,50.4252422266
MASKimg_8571.jpg,43.3727190509,112.820450072
MASKimg_8571.jpg,151.261744966,50.9967709257
MASKimg_8571.jpg,153.373051011,171.222008341
MASKimg_93757.jpg,111.674881266,179.315936675
MASKimg_93757.jpg,51.3415835252,70.4586850857
MASKimg_93757.jpg,171.6233483,70.2305965362
