img,x,y
img_2545.jpg,109.257001506,169.669219187
img_2545.jpg,121.32409078,50.1632323616
img_2545.jpg,85.128130857,101.231044471
img_2653.jpg,178.981837215,112.054593038
img_2653.jpg,70.6924182068,50.1416443545
img_2653.jpg,69.3402081482,170.453230105
img_27453.jpg,104.034065423,167.805213491
img_27453.jpg,122.941283347,53.3339980502
img_27453.jpg,90.9530032672,106.98265896
img_4824.jpg,124.937588652,51.7166323496
img_4824.jpg,108.301066218,128.88201459
img_4824.jpg,98.7185863257,167.304581702
img_5237.jpg,122.55392134,171.583337212
img_5237.jpg,108.106606943,59.071668533
img_5237.jpg,86.0937794533,92.582626453
img_5329.jpg,104.399596843,168.09122491
img_5329.jpg,115.488308952,55.3195283057
img_5329.jpg,142.252863033,142.138799817
img_5514.jpg,165.900339037,102.99834424
img_5514.jpg,56.5289773495,128.875309587
img_5514.jpg,50.348444103,46.1137149443
img_5716.jpg,112.837781223,168.127948385
img_5716.jpg,122.17682299,50.0323411027
img_5716.jpg,58.8684476827,103.741550293
img_8128.jpg,105.849085991,168.245266005
img_8128.jpg,119.234085082,53.2224829444
img_8128.jpg,96.9924050633,95.8289330922
img_8571.jpg,112.346323969,166.313409046
img_8571.jpg,89.523960217,95.0678119349
img_8571.jpg,112.69692597,52.9406183043
img_93757.jpg,111.471463383,53.7673036638
img_93757.jpg,112.143570738,167.092168869
img_93757.jpg,103.693523712,96.4084650688
MASKimg_2545.jpg,43.5811676282,112.834330175
MASKimg_2545.jpg,153.598493142,171.255457531
MASKimg_2545.jpg,151.454487749,50.997778342
MASKimg_2653.jpg,43.6194956917,112.514246445
MASKimg_2653.jpg,153.434816099,171.207843892
MASKimg_2653.jpg,151.729145408,50.953125
MASKimg_27453.jpg,51.0793417948,151.878563684
MASKimg_27453.jpg,171.299116507,152.618063942
MASKimg_27453.jpg,111.847260712,43.2839479855
MASKimg_4824.jpg,111.60636436,179.521983559
MASKimg_4824.jpg,171.616387575,70.4808257702
MASKimg_4824.jpg,51.3668899522,70.6216267943
MASKimg_5237.jpg,43.4132319311,113.510769558
MASKimg_5237.jpg,150.66913346,50.6589500316
MASKimg_5237.jpg,153.970699737,170.877273019
MASKimg_5329.jpg,43.4323404255,109.03106383
MASKimg_5329.jpg,150.254837486,172.601618819
MASKimg_5329.jpg,154.348155764,52.3915949107
MASKimg_5514.jpg,69.6231383829,171.032534356
MASKimg_5514.jpg,71.6625302278,50.8001145475
MASKimg_5514.jpg,179.585746931,112.693149811
MASKimg_5716.jpg,43.6290561251,110.741993447
MASKimg_5716.jpg,153.227854583,51.8141321045
MASKimg_5716.jpg,151.954126679,172.080614203
MASKimg_8128.jpg,171.317777213,152.627733978
MASKimg_8128.jpg,111.684274858,43.3933676994
MASKimg_8128.jpg,51.0891817542,152.105559465
MASKimg_8571.jpg,51.6806117859,153.343422659
MASKimg_8571.jpg,110.419050646,43.5393091757
MASKimg_8571.jpg,171.939259165,151.635999746
MASKimg_93757.jpg,70.3035371011,171.623990773
MASKimg_93757.jpg,179.363674785,111.629404617
MASKimg_93757.jpg,70.4745220894,51.3539415638
