photo_id;0;1;2;3;4;5;6;7;8
204149;0;1;1;1;0;1;0;1;1
52779;0;1;1;1;0;1;0;1;1
278973;0;1;1;1;0;1;0;1;1
195284;0;1;1;1;0;1;0;1;1
19992;0;1;1;1;0;1;0;1;1
80748;0;1;1;1;0;1;0;1;1
444996;0;1;1;1;0;1;0;1;1
200285;0;1;1;1;0;1;0;1;1
90572;0;1;1;1;0;1;0;1;1
27565;0;1;1;1;0;1;0;1;1
228371;0;1;1;1;0;1;0;1;1
166925;0;1;1;1;0;1;0;1;1
310868;0;1;1;1;0;1;0;1;1
13318;0;1;1;1;0;1;0;1;1
290904;0;1;1;1;0;1;0;1;1
71940;0;1;1;1;0;1;0;1;1
211449;0;1;1;1;0;1;0;1;1
368909;0;1;1;1;0;1;0;1;1
118126;0;1;1;1;0;1;0;1;1
188137;0;1;1;1;0;1;0;1;1
12355;0;1;1;1;0;1;0;1;1
232115;0;1;1;1;0;1;0;1;1
208176;0;1;1;1;0;1;0;1;1
362562;0;1;1;1;0;1;0;1;1
244500;0;1;1;1;0;1;0;1;1
18589;0;1;1;1;0;1;0;1;1
186937;0;1;1;1;0;1;0;1;1
14826;0;1;1;1;0;1;0;1;1
156728;0;1;1;1;0;1;0;1;1
444034;0;1;1;1;0;1;0;1;1
351101;0;1;1;1;0;1;0;1;1
349197;0;1;1;1;0;1;0;1;1
127881;0;1;1;1;0;1;0;1;1
330074;0;1;1;1;0;1;0;1;1
38258;0;1;1;1;0;1;0;1;1
116776;0;1;1;1;0;1;0;1;1
42401;0;1;1;1;0;1;0;1;1
360925;0;1;1;1;0;1;0;1;1
417746;0;1;1;1;0;1;0;1;1
65612;0;1;1;1;0;1;0;1;1
251348;0;1;1;1;0;1;0;1;1
403020;0;1;1;1;0;1;0;1;1
381280;0;1;1;1;0;1;0;1;1
260040;0;1;1;1;0;1;0;1;1
10726;0;1;1;1;0;1;0;1;1
8077;0;1;1;1;0;1;0;1;1
175993;0;1;1;1;0;1;0;1;1
44164;0;1;1;1;0;1;0;1;1
207150;0;1;1;1;0;1;0;1;1
416761;0;1;1;1;0;1;0;1;1
270126;0;1;1;1;0;1;0;1;1
399124;0;1;1;1;0;1;0;1;1
234301;0;1;1;1;0;1;0;1;1
208462;0;1;1;1;0;1;0;1;1
211506;0;1;1;1;0;1;0;1;1
44611;0;1;1;1;0;1;0;1;1
462532;0;1;1;1;0;1;0;1;1
470668;0;1;1;1;0;1;0;1;1
83251;0;1;1;1;0;1;0;1;1
437691;0;1;1;1;0;1;0;1;1
348875;0;1;1;1;0;1;0;1;1
428134;0;1;1;1;0;1;0;1;1
189527;0;1;1;1;0;1;0;1;1
397317;0;1;1;1;0;1;0;1;1
26848;0;1;1;1;0;1;0;1;1
350313;0;1;1;1;0;1;0;1;1
362243;0;1;1;1;0;1;0;1;1
382795;0;1;1;1;0;1;0;1;1
375721;0;1;1;1;0;1;0;1;1
