,img,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0,img_48693.jpg,0.8288154006,2.44570662744e-06,1.01544999609e-06,0.00350072133006,6.17259374849e-05,0.000129074986035,4.6624541028e-07,3.44336820035e-05,3.3031849398e-06,0.167451428715
1,img_44903.jpg,0.131864203946,0.00762714846464,0.00762697313415,0.00763807438599,0.00762757844407,0.00763648848324,0.00762696757128,0.755074462804,0.007627044013,0.120666674222
2,img_58514.jpg,0.880859494209,1.03864340417e-06,2.08710849492e-07,0.000404061343943,5.63286400279e-06,2.11294704968e-05,1.10626860561e-07,4.75125489174e-06,6.1192402967e-07,0.118702961132
3,img_62307.jpg,0.998132258654,1.23049010625e-06,2.60209839564e-07,0.00110424904824,3.33312408429e-06,8.16996359845e-05,4.86522712673e-08,7.80987786442e-07,1.45355088965e-07,0.000676028619637
4,img_83984.jpg,0.969752460718,7.61507124025e-07,1.50667725185e-07,0.000122963978356,1.75322672646e-06,2.10058242374e-05,2.86975767594e-08,2.20161132347e-06,5.59301959413e-07,0.0300980203319
5,img_91199.jpg,0.999909341335,4.01954167728e-08,5.2256794586e-09,1.17227780265e-05,1.9926263839e-07,1.14151400554e-06,1.38655707749e-09,3.74529655067e-08,3.96192779972e-09,7.75110875111e-05
6,img_9484.jpg,0.991894811392,2.0794812805e-07,4.64026085056e-08,0.000523216622696,3.17053491905e-06,6.39782823475e-05,2.38317043322e-08,9.84233967216e-07,4.86888717954e-08,0.00751351565123
7,img_48931.jpg,0.111025115634,0.00578170027459,0.00578170596964,0.00586842640857,0.00578621425958,0.00584554486211,0.00578130998377,0.560782208499,0.00578137715098,0.322253909819
8,img_48886.jpg,0.998784482479,5.99015583802e-08,1.72923318026e-08,3.2221474612e-05,4.04267357368e-07,7.17154263086e-06,2.41147462415e-09,8.50004759911e-08,3.69686238844e-08,0.00117552449228
9,img_86427.jpg,0.999179452658,4.74907970727e-08,1.02729160179e-08,3.41952454619e-05,4.79204359749e-07,1.44140120284e-06,1.49777475145e-09,5.37111315424e-08,1.85534384523e-08,0.000784300122177
