1.845253692807070911e-01,7.838999868631267853e-01,8.223218901347746357e-01,5.871408046996551278e-01,3.190371802836082793e-01,8.977918231509122160e-01,9.674443092812295975e-01,4.090852284953881424e-01,5.455110987968688763e-01
1.483387782115613007e-01,7.246334611879233778e-01,8.011106641993579469e-01,6.334226960029654130e-01,2.911184408039234062e-01,9.128861737709819124e-01,9.683435407489480173e-01,4.139620334410880620e-01,5.151410896462910172e-01
2.505836922496784691e-01,5.269114505427114903e-01,5.332029843499918043e-01,6.448127853774153762e-01,7.807570897232282703e-02,7.365302689838240102e-01,8.129522812630542994e-01,1.722726297178598376e-01,7.612895195382297642e-01
1.988361466978790515e-01,6.085745471528209993e-01,5.567424435426312490e-01,4.436538437406968294e-01,2.927290553988029509e-01,7.387003694499156836e-01,8.456609364252160033e-01,1.767817129111508567e-01,6.381157411384948963e-01
9.986077254122670277e-02,7.320341057966522902e-01,6.989652466440287037e-01,3.630951411601496814e-01,4.064109123052453976e-01,7.307518517679194581e-01,9.562555636637639633e-01,5.676572017481084087e-01,4.398544048496756398e-01
1.899525304908258883e-01,6.010551053748335315e-01,7.278551104867706512e-01,6.080161375411895497e-01,2.373927990102436825e-01,7.814608491351435759e-01,9.381919220505298140e-01,3.781432024715784546e-01,7.221579054239281037e-01
2.576812624779212801e-01,5.474368498992815413e-01,7.674512546055833884e-01,6.776612131305200792e-01,1.619303335210507400e-01,8.366898247258235388e-01,9.459915140768572206e-01,1.515149571647838034e-01,8.398176319920381827e-01
4.886546197669209279e-01,2.395114061013690898e-01,3.853310047694977758e-01,5.145612847369734899e-01,8.133951027610866746e-02,6.619497832193617093e-01,8.457274008644726226e-01,5.166369882316317746e-02,9.267154702737947503e-01
6.474954725228238006e-01,4.687439765992283403e-01,3.405116576966860098e-01,6.815176375445276546e-01,6.728873785347146141e-02,6.770339926673055730e-01,3.097130462670873441e-01,1.414544606033038832e-01,5.806673896893964626e-01
7.451958666545349663e-02,9.650908005009906088e-01,9.402734828211738449e-01,3.770028621513738520e-01,7.409890181859746239e-01,9.915892524187299717e-01,9.768916336428232761e-01,7.700188046511581286e-01,4.453337724182065277e-02
1.919448708419610183e-01,7.716226991361331278e-01,7.961616132490237918e-01,5.993122988725114730e-01,2.397231633135867290e-01,9.281552041372288508e-01,9.459854851357644145e-01,3.499570227764556285e-01,4.502666419766078731e-01
6.436117695609358536e-02,9.181927549145075806e-01,9.660124593382227731e-01,5.820620259314830403e-01,5.472656032233965684e-01,9.887503180889817278e-01,9.936543640064703364e-01,4.578513346732345779e-01,1.648778346553163299e-01
